LOG;COLL;COLO;TSPR;RHSPR;WPSPR;TSUM;RHSUM;WPSUM;TAUT;RHAUT;WPAUT
1;50.18;7.54;9.096644;74.62693;-44.04867;18.33116;78.00955;-37.88365;NA;NA;NA
2;48.88;13.26;8.811728;76.55305;-39.67735;18.50152;78.63498;-36.70806;0.127314815;99.09317;-1.1761085
3;51.22;9.1;8.888503;75.97434;-41.16443;18.40842;78.3967;-36.98166;0.21021412;98.47685;-1.9869717
4;53.3;15.6;9.127894;74.92052;-43.14215;18.08801;79.95343;-33.84635;0.161458333;97.341;-3.4482574
11;49.14;18.2;9.045718;76.64641;-39.97793;18.20681;80.17665;-33.6184;-0.010561343;99.26345;-0.9519354
12;47.84;14.56;8.173032;77.64776;-36.53592;18.34766;78.66211;-36.24716;-0.012152778;98.08695;-2.4618382
15;50.18;19.76;8.074653;78.53318;-34.93952;18.24284;78.75434;-35.91023;-0.040798611;98.51085;-1.9119148
18;42.12;16.38;8.392168;77.19522;-37.94032;18.12044;79.88477;-34.10416;0.001736111;99.37717;-0.8060732
19;38.74;22.62;8.468364;78.27971;-36.02627;18.2921;80.52648;-33.26747;0.021412037;99.29036;-0.9167152
21;40.56;13.78;7.726273;82.29745;-27.93724;17.69792;82.43924;-29.60219;0.163483796;99.28125;-0.9277489
23;49.66;17.16;8.115741;78.09008;-35.58509;18.20399;78.74631;-36.12881;-0.095341435;98.25087;-2.2719649
25;47.84;20.8;8.059028;78.49035;-34.785;18.15668;78.2997;-36.94818;NA;NA;NA
26;49.92;17.94;7.970293;78.34028;-35.28425;18.11545;77.51476;-38.31237;-0.087384259;99.38585;-0.7941124
27;49.92;19.76;8.059799;78.03183;-35.45591;18.03385;78.8342;-35.61564;0.162471065;98.67231;-1.7270606
28;46.02;10.4;9.413194;73.74093;-46.1406;18.19748;79.58377;-34.77977;0.072482639;99.33898;-0.8562317
29;48.62;13.78;8.955054;75.12269;-42.5799;18.37283;78.64019;-36.75438;NA;NA;NA
31;54.6;8.58;8.967014;75.60127;-41.74116;18.3151;79.31597;-35.07083;0.14453125;98.92303;-1.4010112
33;54.86;11.44;8.856096;76.03356;-40.73723;18.32639;79.11263;-35.65797;0.017650463;99.32494;-0.8735637
34;43.68;16.9;8.956597;75.549;-41.73143;18.27582;80.67101;-32.97556;0.144675926;98.43519;-2.0360419
36;41.6;18.2;9.304205;75.20737;-43.03456;18.19813;79.22635;-35.15267;0.197771991;98.77532;-1.5857185
37;43.16;16.64;9.013503;75.68248;-41.50788;18.21918;80.17491;-33.5633;0.131944444;99.05498;-1.2167997
39;40.72;12.22;9.013117;76.47492;-40.34759;18.13802;80.44596;-33.26956;0.054398148;97.29847;-3.4813792
41;40.82;13.52;8.991127;76.93133;-39.30049;18.25282;78.86914;-35.94534;0.064814815;98.19416;-2.3296852
42;42.64;8.84;8.852816;77.41763;-37.54848;18.06944;80.54297;-33.13842;NA;NA;NA
45;49.66;12.74;8.967014;75.60127;-41.74116;18.22439;79.16623;-35.49628;-0.036168981;98.0204;-2.5525004
46;49.4;12.22;8.508488;79.19348;-34.36878;18.05686;81.59201;-31.74366;-0.100549769;96.37109;-4.6902401
49;39.26;21.06;8.10571;80.11053;-32.30023;18.11719;80.61068;-33.14111;0.060908565;98.36907;-2.0883491
50;42.64;22.88;8.180556;79.50752;-33.21187;18.06076;80.65408;-32.75559;-0.010850694;99.39497;-0.7840241
53;50.96;13.26;8.244213;78.7963;-35.00071;18.0714;80.66775;-32.59663;NA;NA;NA
54;42.12;13;8.258102;79.39988;-33.74538;18.00911;81.70725;-31.08371;0.020399306;99.14236;-1.1060168
55;42.9;11.96;8.194059;79.17072;-34.34089;18.07899;81.72135;-30.97573;-0.092737269;99.55961;-0.5727251
56;37.96;10.92;8.548997;76.72145;-38.24149;18.09028;84.32878;-27.38353;NA;NA;NA
58;43.68;14.82;8.216628;79.46701;-33.4008;18.11285;80.78103;-32.61534;NA;NA;NA
60;44.46;10.14;9.191165;74.74306;-43.70871;18.35547;78.45964;-36.83494;0.209056713;98.86097;-1.4788752
61;41.08;31.1;7.65027;79.7961;-32.29778;17.64128;82.38216;-29.65125;-0.018229167;99.26664;-0.9405452
65;48.36;9.1;8.225116;78.56925;-35.56449;17.86241;79.2806;-34.56662;-0.006655093;96.72396;-4.2430081
66;45.24;9.88;8.163194;79.3235;-33.5803;17.81424;81.59071;-30.66301;0.094184028;98.32465;-2.1726858
67;52.78;9.88;8.160301;79.88657;-32.91605;17.73655;83.33333;-28.17556;0.192853009;98.81163;-1.538909
72;41.6;9.88;7.966435;79.86921;-32.61406;17.90169;81.97461;-30.69877;0.097511574;98.92347;-1.3955245
73;41.34;13.52;7.72608;80.41146;-31.46872;17.73503;82.52582;-29.59158;0.154513889;98.44531;-2.0079829
74;44.2;16.64;8.070795;79.52141;-33.5561;17.77886;81.88628;-30.6396;0.102430556;96.932;-3.9620407
75;42.38;17.16;8.354745;78.43268;-35.13324;18.05751;81.15299;-31.91484;-0.089699074;99.5583;-0.5725352
76;43.16;17.94;8.064622;79.05517;-33.83416;17.88303;81.42014;-31.22033;NA;NA;NA
77;45.5;14.56;8.153164;78.21065;-35.49131;18.21029;78.72352;-36.02595;0.106770833;99.59968;-0.5153127
79;49.92;17.16;7.94348;79.03935;-33.7924;18.11089;79.81207;-34.20578;-0.196614583;99.50984;-0.6361516
80;60.58;15.6;8.493248;76.11767;-39.41758;18.36241;76.83464;-39.61219;-0.195601852;98.28024;-2.2328499
87;43.16;23.14;9.026235;75.36651;-42.48735;18.31597;78.88043;-36.43383;0.727771679;98.0247;-2.5777575
88;49.92;11.7;9.143519;74.90606;-43.07349;18.59418;77.72439;-38.6457;0.178674769;99.07581;-1.2002665
89;52;8.06;9.206983;75.33816;-42.59064;18.44727;78.61632;-36.66474;0.125434028;97.05527;-3.8065787
90;49.14;15.08;8.908565;75.33449;-41.67255;18.36806;78.76519;-36.11175;0.112847222;99.2623;-0.956591
91;42.38;13.26;9.030671;75.44348;-41.97581;18.26107;78.94878;-35.72136;0.089699074;98.06626;-2.4990379
92;44.98;15.6;9.259452;75.06771;-43.32544;18.44466;80.0332;-34.39648;NA;NA;NA
95;50.96;22.88;9.117477;75.32253;-42.46181;18.47092;78.13151;-37.31746;0.223524306;97.22584;-3.6022549
96;46.02;17.16;9.106481;74.36169;-43.9727;18.51454;78.00803;-37.72631;0.218460648;98.9511;-1.3575081
97;50.44;12.48;9.059221;75.06771;-43.13101;18.31402;78.43403;-36.4608;NA;NA;NA
99;48.1;10.92;8.784144;76.86574;-39.52673;18.13173;80.05143;-33.89126;0.086371528;98.38209;-2.0910701
201;49.4;8.32;8.118248;80.65278;-30.8532;17.80404;82.4885;-29.42937;0.35228588;99.16189;-1.084327
202;45.76;22.62;8.493248;77.44869;-37.40002;18.23069;79.87543;-34.23825;0.052372685;99.29225;-0.9036231
